item,status,image,question,question_content,image_subject,answer1,answer2
1,filler,icecream.png,ภาพด้านล่างนี้คือภาพ ไอศกรีม ใช่หรือไม่,ไอศกรีม,ไอศกรีม,ใช่,ไม่ใช่
2,filler,hunyon.png,ภาพด้านล่างนี้คือภาพ หุ่นยนต์ ใช่หรือไม่,หุ่นยนต์,หุ่นยนต์,ใช่,ไม่ใช่
3,filler,computer.png,ภาพด้านล่างนี้คือภาพ คอมพิวเตอร์ ใช่หรือไม่,คอมพิวเตอร์,คอมพิวเตอร์,ใช่,ไม่ใช่
4,filler,krataay.png,ภาพด้านล่างนี้คือภาพ กระต่าย ใช่หรือไม่,กระต่าย,กระต่าย,ใช่,ไม่ใช่
5,filler,prajan.png,ภาพด้านล่างนี้คือภาพ พระจันทร์ ใช่หรือไม่,พระจันทร์,พระจันทร์,ใช่,ไม่ใช่
6,filler,huajai.png,ภาพด้านล่างนี้คือภาพ หัวใจ ใช่หรือไม่,หัวใจ,หัวใจ,ใช่,ไม่ใช่
7,filler,namkheng.png,ภาพด้านล่างนี้คือภาพ น้ำแข็ง ใช่หรือไม่,น้ำแข็ง,น้ำแข็ง,ใช่,ไม่ใช่
8,filler,krarok.png,ภาพด้านล่างนี้คือภาพ กระรอก ใช่หรือไม่,กระรอก,กระรอก,ใช่,ไม่ใช่
9,filler,ling.png,ภาพด้านล่างนี้คือภาพ ลิง ใช่หรือไม่,ลิง,ลิง,ใช่,ไม่ใช่
10,filler,phueng.png,ภาพด้านล่างนี้คือภาพ ผึ้ง ใช่หรือไม่,ผึ้ง,ผึ้ง,ใช่,ไม่ใช่
11,filler,mengmum.png,ภาพด้านล่างนี้คือภาพ แมงมุม ใช่หรือไม่,แมงมุม,แมงมุม,ใช่,ไม่ใช่
12,filler,klong.png,ภาพด้านล่างนี้คือภาพ กล่อง ใช่หรือไม่,กล่อง,กล่อง,ใช่,ไม่ใช่
13,filler,kradaat.png,ภาพด้านล่างนี้คือภาพ กระดาษ ใช่หรือไม่,กระดาษ,กระดาษ,ใช่,ไม่ใช่
